EE Provider ID	EE UID	Client Unique ID	Client ID	Entry Exit Group Id	Entry Exit Household Id		Entry Date	Housing Move-in Date(5584)	Exit Date	Destination	Reason for Leaving	Entry Exit Type	Entry Exit Date Added	Entry Exit Date Updated
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688361	jjcm07251979j150j250	318262				8/15/2015		8/31/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/1/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688362	tmtm07191957t520m320	381470				8/15/2015		8/18/2015	Staying or living with family, permanent tenure (HUD)	Left for housing opp. before completing program	HUD	8/20/2015	8/20/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688363	csnm11301988c623s524	309651				8/15/2015		10/7/2015	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	HUD	8/20/2015	10/19/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688365	dwom08041978d640w320	333120				8/15/2015		9/28/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/29/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688366	wbsf12081963w530b200	373187				8/15/2015	4/25/2016	4/25/2016	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	5/18/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688367	ybuf11221969y453b326	362567				8/15/2015		8/20/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688368	cbwf05101957c645b420	158414				8/15/2015		4/20/2016	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	4/21/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688369	tclf10151991t200c400	401630				8/15/2015		9/4/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/8/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688370	ekaf09131961e450k516	401763				8/15/2015		8/20/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688371	tkuf12011960t620k451	314853				8/15/2015		8/25/2015	Hospital or other residential non-psychiatric medical facility (HUD)	Other	HUD	8/20/2015	8/26/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688372	clnf07121973c623l520	400077				8/15/2015		8/29/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/31/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688378	mtof06051963m520t520	386115				8/15/2015		10/5/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	10/7/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688395	kbtm07131957k640b352	399904				8/15/2015	6/5/2016	6/10/2016	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	6/14/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688396	abam05181974a412b653	394031				8/15/2015		8/30/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/31/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688397	bcmm11301974b400c565	402258				8/15/2015		8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688398	ddam04221992d130d616	403050				8/15/2015		8/24/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/25/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688403	ddkm12061967d150d220	383149				8/15/2015		8/18/2015	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	HUD	8/20/2015	8/20/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688405	ghrm10261976g620h635	387590				8/15/2015		9/30/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	10/1/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688406	jlem07261968j160l000	403483				8/15/2015		8/20/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688408	rlom05011950r543l300	224787				8/15/2015		8/29/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/31/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688410	rlom01081964r543l300	225552				8/15/2015		12/14/2015	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	12/14/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688413	gmrm08241953g600m650	392386				8/15/2015		10/6/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	10/7/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688414	smom09231995s500m600	262238				8/15/2015		8/25/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/26/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688415	rmrm06041956r263m620	384147				8/15/2015		9/21/2015	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	1/10/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688416	lpim11051951l530p412	403049				8/15/2015		9/27/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688417	rqim01121968r263q620	361597				8/15/2015		4/7/2016	Staying or living with friends, temporary tenure (HUD)	Left for housing opp. before completing program	HUD	8/20/2015	4/12/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688418	crnm07221992c642r500	365130				8/15/2015		8/16/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688419	hrym10231959h600r236	382672				8/15/2015		11/13/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	11/16/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688420	hsom12061972h643s252	397312				8/15/2015		9/27/2015	Hospital or other residential non-psychiatric medical facility (HUD)	Other	HUD	8/20/2015	9/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688427	vwlm03311981v524w452	156978				8/15/2015		9/1/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/2/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688496	hgrf06161964h450g625	398931				8/15/2015		8/27/2015	Staying or living with friends, permanent tenure (HUD)	Left for housing opp. before completing program	HUD	8/20/2015	8/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688497	krcf06291962k300r263	399459				8/19/2015		12/24/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	12/29/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688498	cbom04071962c465b650	384776				8/15/2015		8/21/2015	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	8/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688502	cclm10171961c623c434	333631				8/15/2015		8/16/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688503	gcom05261963g635c160	166457				8/15/2015		10/15/2015	Staying or living with friends, permanent tenure (HUD)	Completed program	HUD	8/20/2015	10/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688505	mdum02261986m240d320	219392				8/15/2015		8/31/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/1/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688506	kdrm12171954k300d655	397427				8/15/2015		9/15/2015	Rental by client, with VASH housing subsidy (HUD)	Completed program	HUD	8/20/2015	9/17/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688532	pedm09021963p400e436	187276				8/15/2015		8/26/2015	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	8/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688561	rhlm01241960r410h400	217836				8/15/2015		12/12/2015	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/20/2015	1/10/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688562	bhrm01101968b350h632	190759				8/15/2015		9/4/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/8/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688564	djhm10151956d242j525	397646				8/15/2015		9/11/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688566	klmm02161978k623l550	402256				8/15/2015		11/20/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	11/23/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688569	smlm03301954s540m415	296887				8/15/2015		12/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	12/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688570	msam12051979m300s160	381763				8/15/2015		9/1/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/2/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688571	dtom12301973d500t512	195489				8/15/2015		12/4/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	12/7/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688572	jwlm02141955j520w452	143061				8/15/2015		9/19/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/20/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688721	kcnm07201985k400c530	399250				8/15/2015		8/19/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688722	clem02131977c465l000	406857				8/15/2015		9/25/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688723	rgrm08211962r550g620	181734				8/15/2015		9/2/2015	Psychiatric hospital or other psychiatric facility (HUD)	Other	HUD	8/21/2015	9/3/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688724	blem11211971b630l000	162076				8/15/2015		9/12/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688726	eklm08011990e640k400	208663				8/15/2015		3/4/2016	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/21/2015	7/26/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688727	jltm10031997j650l340	402257				8/15/2015		9/27/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688728	thrm10171984t652h620	407754				8/15/2015		8/31/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/1/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688729	bcnm04251957b620c552	407001				8/15/2015		10/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	10/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688731	dcum03161963d650c140	405094				8/15/2015		9/2/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/3/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688733	mmtm07161964m650m324	319129				8/15/2015		3/3/2016	Staying or living with family, permanent tenure (HUD)	Left for housing opp. before completing program	HUD	8/21/2015	3/4/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688734	rslm01211971r400s426	406576				8/15/2015		8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688735	rcrm05281947r263c600	330427				8/15/2015		8/24/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/25/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688737	ambm09111955a535m150	10107				8/15/2015		8/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688740	blnm02271951b400l500	167439				8/15/2015		8/22/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688750	rhnm04081961r163h536	203783				8/15/2015		9/26/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688751	llem01061957l600l000	351504				8/15/2015		12/8/2015	Permanent housing (other than RRH) for formerly homeless persons (HUD)	Completed program	HUD	8/21/2015	12/14/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688752	jlnm03211951j520l500	167911				8/15/2015		9/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688753	flem04051964f430l000	316159				8/15/2015		11/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	11/19/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688754	rwlm03181964r254w452	402130				8/15/2015		8/27/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/28/2015
